iter	Passed	Remaining
902	1088	116
903	1089	115
904	1090	114
905	1091	113
906	1092	111
907	1093	110
908	1094	109
909	1095	108
910	1096	107
911	1097	105
912	1097	104
913	1104	103
914	1105	102
915	1106	101
916	1107	100
917	1108	99
918	1109	97
919	1110	96
920	1111	95
921	1112	94
922	1113	92
923	1113	91
924	1114	90
925	1115	89
926	1116	87
927	1117	86
928	1117	85
929	1118	84
930	1119	82
931	1119	81
932	1120	80
933	1121	79
934	1122	78
935	1123	76
936	1125	75
937	1127	74
938	1128	73
939	1129	72
940	1131	70
941	1132	69
942	1133	68
943	1134	67
944	1135	66
945	1136	64
946	1137	63
947	1138	62
948	1138	61
949	1139	59
950	1140	58
951	1141	57
952	1141	56
953	1142	55
954	1143	53
955	1144	52
956	1145	51
957	1145	50
958	1146	49
959	1147	47
960	1147	46
961	1148	45
962	1149	44
963	1152	43
964	1153	41
965	1154	40
966	1155	39
967	1156	38
968	1159	37
969	1160	35
970	1161	34
971	1162	33
972	1162	32
973	1163	31
974	1164	29
975	1165	28
976	1167	27
977	1168	26
978	1169	25
979	1169	23
980	1170	22
981	1170	21
982	1171	20
983	1172	19
984	1173	17
985	1174	16
986	1175	15
987	1175	14
988	1176	13
989	1176	11
990	1177	10
991	1178	9
992	1178	8
993	1181	7
994	1183	5
995	1184	4
996	1187	3
997	1188	2
998	1189	1
999	1190	0
